epoch,generator_loss,discriminator_loss
0,0.6190098622073866,1.200616669164945
1,0.6546719033424169,1.324902942735855
2,0.6918455688920739,1.341091270316137
3,0.7105475909089389,1.3424712664460483
4,0.7190492937009628,1.3522694584441513
5,0.7164213387933496,1.3642773611904824
6,0.712029659584777,1.3674539099000904
7,0.7106421516366201,1.3679224726271957
8,0.7079165912654302,1.3752834094713813
9,0.7075902076616679,1.3729603731468931
10,0.7095484660096365,1.370353009602795
11,0.7099574698160772,1.3666117811856204
12,0.718243560562395,1.358361934962338
13,0.7244251345934933,1.3446045509756428
14,0.7305582753599507,1.3536147418087476
15,0.7292646569748448,1.3510447071023184
16,0.7316813836358997,1.3529411276725873
17,0.7363122195413668,1.3419845806409234
18,0.7445773212877038,1.329850727564668
19,0.7380674097635974,1.3344370143054283
20,0.7406907894023477,1.3436758175288162
21,0.732814271564353,1.3414826180836925
22,0.7532012233995411,1.3374895951519274
23,0.7364516323559904,1.339106517295315
24,0.7298764864059344,1.34843967385488
25,0.7363573549544975,1.3351760449474805
26,0.7532477191049759,1.3305363916370967
27,0.7572891899984177,1.3320218536951771
28,0.7472812770164177,1.3329612980150196
29,0.7353658341381648,1.3417902841959914
30,0.7390276536549607,1.3390085942124668
31,0.7393295879233374,1.3383519094284266
32,0.754175992044684,1.3191639642192894
33,0.7672329479700899,1.3174456831527084
34,0.7388902437197019,1.3331143611097989
35,0.7390397517648462,1.3295926786448857
36,0.7425366631925923,1.3293695351848864
37,0.7429992915832833,1.3306438873891961
38,0.7488408750050688,1.324063728933465
39,0.7530624964465834,1.3230843201075515
40,0.7751491233094098,1.313557556230728
41,0.7981790810415189,1.3163678809388044
42,0.7896191432867965,1.3245855177918526
43,0.771542055149601,1.3278014365940878
44,0.7529393940755765,1.3187138870970843
45,0.7751632447112097,1.3104188311589908
46,0.7564762855229312,1.3136410892826238
47,0.7871255752158491,1.30088832607008
48,0.803465089569353,1.2860202234085292
49,0.7753927274926068,1.2996308460627517
