epoch,gen_loss,disc_loss
1,0.6857439875602722,1.4328993558883667
2,0.6944975852966309,1.3877298831939697
3,0.692625880241394,1.3750720024108887
4,0.6917145848274231,1.366426706314087
5,0.6908765435218811,1.354504942893982
6,0.6911157965660095,1.337309718132019
7,0.6925266981124878,1.3197882175445557
8,0.6932626366615295,1.3092598915100098
9,0.6936562061309814,1.287602424621582
10,0.693213701248169,1.265141248703003
11,0.6904628276824951,1.2535256147384644
12,0.6864741444587708,1.2320480346679688
13,0.6816164255142212,1.214714765548706
14,0.6725231409072876,1.2069268226623535
15,0.6649364829063416,1.1883665323257446
16,0.6585822105407715,1.1633226871490479
17,0.6491504311561584,1.1555322408676147
18,0.6400327682495117,1.1384162902832031
19,0.625551700592041,1.1260348558425903
20,0.6117305755615234,1.1207523345947266
21,0.5919243097305298,1.1308465003967285
22,0.5727792978286743,1.13168466091156
23,0.5504673719406128,1.1484251022338867
24,0.5301805734634399,1.1691036224365234
25,0.5046089887619019,1.1986918449401855
26,0.4908722937107086,1.2223491668701172
27,0.4829972982406616,1.2289941310882568
28,0.4750750660896301,1.247712254524231
29,0.47595930099487305,1.2504072189331055
30,0.47093725204467773,1.2603917121887207
31,0.4721015691757202,1.2669143676757812
32,0.47607797384262085,1.2698349952697754
33,0.48108264803886414,1.2831172943115234
34,0.48630574345588684,1.2904629707336426
35,0.49513357877731323,1.2820639610290527
36,0.5081780552864075,1.2770689725875854
37,0.5111485123634338,1.2824903726577759
38,0.5205726623535156,1.2786612510681152
39,0.5283188223838806,1.2729003429412842
40,0.531692385673523,1.2822825908660889
41,0.538221538066864,1.2718125581741333
42,0.5377427935600281,1.2824255228042603
43,0.5379112362861633,1.2835551500320435
44,0.5408889055252075,1.2900364398956299
45,0.5431828498840332,1.289374828338623
46,0.5411900281906128,1.2933104038238525
47,0.5420507192611694,1.2867350578308105
48,0.5440471172332764,1.299707055091858
49,0.544126570224762,1.2977404594421387
50,0.5438133478164673,1.2922699451446533
